"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "JSON", "JSON with Comments", "Prisma", "Ini", "comment", "blank", "total"
"c:\proj\src\app\vacancy\page.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\proj\src\components\Edit\DropDownHandler.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 2, 8, 91
"c:\proj\src\components\Edit\EditLeft.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 0, 9, 14, 204
"c:\proj\src\components\Edit\EditProfile.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\proj\src\components\Edit\EditRight.js", "JavaScript", 314, 0, 0, 0, 0, 0, 0, 0, 3, 24, 341
"c:\proj\src\components\Edit\Education.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 7, 100
"c:\proj\src\components\Edit\SkillsModalContent.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 0, 0, 27, 337
"c:\proj\src\components\Edit\SkillsModalVacs.js", "JavaScript", 328, 0, 0, 0, 0, 0, 0, 0, 0, 10, 338
"c:\proj\src\components\Edit\WorkExperience.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 8, 127
"c:\proj\src\components\Profile\ConnectionsModal.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 0, 3, 15, 196
"c:\proj\src\components\Profile\ContactsModal.js", "JavaScript", 262, 0, 0, 0, 0, 0, 0, 0, 4, 21, 287
"c:\proj\src\components\Profile\Left.js", "JavaScript", 342, 0, 0, 0, 0, 0, 0, 0, 17, 37, 396
"c:\proj\src\components\Profile\PitchesModal.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 0, 14, 190
"c:\proj\src\components\Profile\Profile.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 8, 75
"c:\proj\src\components\Profile\ProfileBookmarks.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\proj\src\components\Profile\ProfileInfo.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 11, 167
"c:\proj\src\components\Profile\ProfileLiked.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 9, 99
"c:\proj\src\components\Profile\ProfilePosts.js", "JavaScript", 86, 0, 0, 0, 0, 0, 0, 0, 1, 10, 97
"c:\proj\src\components\Profile\Right.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\proj\src\components\Profile\UpdatesModal.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 0, 11, 161
"c:\proj\src\components\Profile\useWindowDimensions.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\proj\src\components\SessionProvider.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\proj\src\components\auth\AuthForm.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 9, 71
"c:\proj\src\components\auth\AuthText.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"c:\proj\src\components\company\CompanyInfo.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 11, 105
"c:\proj\src\components\company\CompanyLeft.js", "JavaScript", 236, 0, 0, 0, 0, 0, 0, 0, 5, 20, 261
"c:\proj\src\components\company\CompanyProfile.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 18, 8, 68
"c:\proj\src\components\company\CompanyRight.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\proj\src\components\company\CompanyVacancies.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\proj\src\components\company\FollowersModal.js", "JavaScript", 176, 0, 0, 0, 0, 0, 0, 0, 6, 15, 197
"c:\proj\src\components\company\RecrutersModal.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 0, 1, 15, 197
"c:\proj\src\components\companyedit\EditCompany.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\proj\src\components\companyedit\EditCompanyLeft.js", "JavaScript", 294, 0, 0, 0, 0, 0, 0, 0, 28, 16, 338
"c:\proj\src\components\companyedit\EditCompanyRight.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 7, 16, 224
"c:\proj\src\components\createvacancy\CreateVacancy.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\proj\src\components\createvacancy\CreateVacancyRight.js", "JavaScript", 541, 0, 0, 0, 0, 0, 0, 0, 1, 27, 569
"c:\proj\src\components\feed\CreatePostModal.js", "JavaScript", 354, 0, 0, 0, 0, 0, 0, 0, 30, 28, 412
"c:\proj\src\components\feed\Feed.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74
"c:\proj\src\components\feed\FeedNav.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\proj\src\components\feed\FeedNavMobile.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\proj\src\components\feed\FeedWrap.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 3, 9, 55
"c:\proj\src\components\feed\MobilePostPage.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 0, 2, 23, 197
"c:\proj\src\components\feed\ModalContext.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\proj\src\components\landing\LandingGearsComponents.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 13, 204
"c:\proj\src\components\landing\LandingPage.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\proj\src\components\landing\WTF.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\proj\src\components\messenger\ChatInfo.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\proj\src\components\messenger\ChatParent.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 11, 55
"c:\proj\src\components\messenger\Chats.js", "JavaScript", 369, 0, 0, 0, 0, 0, 0, 0, 4, 30, 403
"c:\proj\src\components\messenger\ChatsEmpty.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\proj\src\components\messenger\ChatsList.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 16, 19, 175
"c:\proj\src\components\messenger\ChatsPanel.js", "JavaScript", 490, 0, 0, 0, 0, 0, 0, 0, 9, 29, 528
"c:\proj\src\components\messenger\ListOfChats.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 4, 11, 150
"c:\proj\src\components\messenger\MesContextWrap.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 135, 23, 179
"c:\proj\src\components\messenger\MessageCart.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 3, 10, 115
"c:\proj\src\components\messenger\MessageItem.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 2, 5, 53
"c:\proj\src\components\messenger\Messenger.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\proj\src\components\messenger\MessengerContextWrap.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 1, 12, 78
"c:\proj\src\components\messenger\MessengerRight.js", "JavaScript", 332, 0, 0, 0, 0, 0, 0, 0, 35, 16, 383
"c:\proj\src\components\messenger\ReplyItem.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 1, 7, 85
"c:\proj\src\components\othersCompany\OthersCompanyLeft.js", "JavaScript", 319, 0, 0, 0, 0, 0, 0, 0, 16, 28, 363
"c:\proj\src\components\othersCompany\OthersCompanyWithNav.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 21, 7, 77
"c:\proj\src\components\othersPorfile\OthersContactsModal.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"c:\proj\src\components\othersPorfile\OthersLeft.js", "JavaScript", 504, 0, 0, 0, 0, 0, 0, 0, 36, 35, 575
"c:\proj\src\components\othersPorfile\OthersProfileWithNav.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 7, 81
"c:\proj\src\components\search\Companies.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 1, 10, 86
"c:\proj\src\components\search\CompanyFilter.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\proj\src\components\search\FiltersWrap.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 11, 116
"c:\proj\src\components\search\MobileFilters.js", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 14, 179
"c:\proj\src\components\search\PcFilters.js", "JavaScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 14, 162
"c:\proj\src\components\search\People.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 1, 10, 85
"c:\proj\src\components\search\PeopleFilter.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 9, 140
"c:\proj\src\components\search\Search.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"c:\proj\src\components\search\SearchNav.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 13, 138
"c:\proj\src\components\search\SearchNavContext.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\proj\src\components\search\Vacancies.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 1, 10, 91
"c:\proj\src\components\search\VacancyFilter.js", "JavaScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 11, 174
"c:\proj\src\components\settings\Settings.js", "JavaScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 19, 150
"c:\proj\src\components\settings\SettingsBody.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\proj\src\components\subscriptions\Subscriptions.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 15, 143
"c:\proj\src\components\vacancy\ReplyModal.js", "JavaScript", 249, 0, 0, 0, 0, 0, 0, 0, 2, 27, 278
"c:\proj\src\components\vacancy\VacancyLeft.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 11, 147
"c:\proj\src\components\vacancy\VacancyPage.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\proj\src\components\vacancy\VacancyRight.js", "JavaScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 18, 211
"c:\proj\src\components\vacancy\VacancySubInfo.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"c:\proj\src\layouts\AuthLayout.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 12, 7, 54
"c:\proj\src\layouts\Layout.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 6, 5, 61
"c:\proj\src\server\actions\addPost.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 6, 93
"c:\proj\src\server\actions\bookmarks\addToBookmarks.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\proj\src\server\actions\bookmarks\fetchBookmarks.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\proj\src\server\actions\bookmarks\getUsersBookmarks.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 7, 129
"c:\proj\src\server\actions\bookmarks\removeBookmark.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\proj\src\server\actions\companyFollowing\checkIfIFollowCompany.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\proj\src\server\actions\companyFollowing\followCompany.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\proj\src\server\actions\companyFollowing\unfollowCompany.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\proj\src\server\actions\company\createVacancy.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\proj\src\server\actions\company\createVacancyHandler.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\proj\src\server\actions\company\fetchCompanies.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\proj\src\server\actions\company\fetchCompanyVacancies.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\proj\src\server\actions\company\fetchVacancies.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\proj\src\server\actions\company\getBigCities.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\proj\src\server\actions\company\getCompanies.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 1, 5, 86
"c:\proj\src\server\actions\company\getCompany.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 7, 5, 75
"c:\proj\src\server\actions\company\getCompanyIndustries.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\proj\src\server\actions\company\getCompanyProfile.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 0, 6, 3, 132
"c:\proj\src\server\actions\company\getCompanyVacancies.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 6, 130
"c:\proj\src\server\actions\company\getVacancies.js", "JavaScript", 213, 0, 0, 0, 0, 0, 0, 0, 0, 11, 224
"c:\proj\src\server\actions\company\getVacancyById.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 7, 146
"c:\proj\src\server\actions\company\updateCompanyProfile.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 59, 9, 121
"c:\proj\src\server\actions\connections\addConnection.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\proj\src\server\actions\connections\cancelFriendRequest.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\proj\src\server\actions\connections\checkIfFriend.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\proj\src\server\actions\connections\checkIfOtherSentRequest.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\proj\src\server\actions\connections\checkIfRequestSent.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\proj\src\server\actions\connections\declineFriendRequest.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\proj\src\server\actions\connections\fetchFollowers.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\proj\src\server\actions\connections\fetchGetFriendList.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\proj\src\server\actions\connections\fetchGetRecruters.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\proj\src\server\actions\connections\fetchGetUpdates.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\proj\src\server\actions\connections\getFollowers.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 7, 7, 79
"c:\proj\src\server\actions\connections\getFriendList.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\proj\src\server\actions\connections\getRecruters.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"c:\proj\src\server\actions\connections\getUpdates.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"c:\proj\src\server\actions\connections\removeConnection.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\proj\src\server\actions\connections\sendFriendRequest.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\proj\src\server\actions\contacts\addContacts.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
